provincia,zona,titulo,precio_actual,metros,habitaciones,ascensor,planta,baños,cod_distrito,renta_neta_media_por_hogar
madrid,san-blas,"Piso en calle de los Hermanos García Noblejas, Simancas, Madrid",350000,80,3.0,S,5ª,0,20,44468
madrid,barrio-de-salamanca,"Piso en calle del Duque de Sesto, Goya, Madrid",1580000,185,3.0,S,1ª,0,04,69147
madrid,fuencarral,"Piso en calle de Ribadavia, 29, Pilar, Madrid",212000,97,5.0,S,4ª,2,08,62385
madrid,usera,"Piso en calle Lanjarón, 12 de Octubre-Orcasur, Madrid",280000,131,5.0,N,BAJO,0,12,34651
madrid,retiro,"Piso en calle de Menorca, Ibiza, Madrid",405000,89,1.0,N,SÓTANO,1,03,64787
madrid,hortaleza,"Piso en calle de Mesena, 80, Pinar del Rey, Madrid",839800,114,2.0,S,3ª,0,16,61472
madrid,barrio-de-salamanca,"Piso en Recoletos, Madrid",2990000,231,3.0,S,3ª,0,04,69147
madrid,villaverde,"Piso en Godella, San Cristóbal, Madrid",110000,70,3.0,S,5ª,0,17,35011
madrid,chamberi,"Piso en paseo de Eduardo Dato, Almagro, Madrid",6200000,548,3.0,S,7ª,0,07,65174
madrid,ciudad-lineal,"Piso en calle de Boldano, Quintana, Madrid",159000,49,2.0,N,3ª,0,15,46937
madrid,centro,"Piso en calle del Amparo, Lavapiés-Embajadores, Madrid",293000,84,3.0,N,3ª,0,01,44958
madrid,villaverde,"Piso en calle de los Cacereños, 50, Villaverde Alto, Madrid",81100,65,3.0,N,3ª,0,17,35011
madrid,barrio-de-salamanca,"Piso en Goya, Madrid",1100000,112,4.0,N,BAJO,0,04,69147
madrid,retiro,"Piso en calle de Antonio Casero, 11, Estrella, Madrid",490000,89,3.0,S,2ª,0,03,64787
madrid,barrio-de-salamanca,"Piso en Castellana, Madrid",1095000,86,2.0,S,6ª,0,04,69147
madrid,carabanchel,"Piso en calle Fernando Díaz de Mendoza, Comillas, Madrid",345000,103,4.0,N,2ª,0,11,3635
madrid,chamberi,"Piso en calle de José Abascal, Nuevos Ministerios-Ríos Rosas, Madrid",680000,105,2.0,S,1ª,0,07,65174
madrid,hortaleza,"Chalet pareado en Conde Orgaz-Piovera, Madrid",3650000,468,5.0,S,4ª,0,16,61472
madrid,tetuan,"Piso en Bravo Murillo, 335, Valdeacederas, Madrid",478000,66,1.0,S,4ª,0,06,45762
madrid,barrio-de-salamanca,"Piso en Lista, Madrid",2619000,219,4.0,S,4ª,0,04,69147
madrid,moncloa,"Chalet pareado en Valdemarín, Madrid",2750000,548,5.0,N,3ª,4,09,71711
madrid,usera,"Piso en Pradolongo, Madrid",180000,50,2.0,N,3ª,0,12,34651
madrid,villa-de-vallecas,"Ático en avenida del Ensanche de Vallecas, 78, Ensanche de Vallecas - La Gavia, Madrid",575000,170,3.0,S,8ª,0,18,39836
madrid,tetuan,"Ático en calle Azucenas, 72, Valdeacederas, Madrid",350000,90,2.0,N,3ª,0,06,45762
madrid,centro,"Piso en calle Mayor, Sol, Madrid",895000,145,3.0,S,3ª,0,01,44958
madrid,barrio-de-salamanca,"Piso en calle de Coslada, Guindalera, Madrid",440000,60,1.0,N,BAJO,0,04,69147
madrid,barrio-de-salamanca,"Piso en Castellana, Madrid",2460000,315,3.0,S,6ª,4,04,69147
madrid,centro,"Piso en calle de la Galería de Robles, Malasaña-Universidad, Madrid",330000,56,2.0,N,BAJO,1,01,44958
madrid,villa-de-vallecas,"Piso en calle de Montes de Barbanza, 18, Casco Histórico de Vallecas, Madrid",242000,87,4.0,S,1ª,2,18,39836
madrid,centro,"Piso en calle de San Vicente Ferrer, 34, Malasaña-Universidad, Madrid",1150000,130,3.0,S,2ª,0,01,44958
madrid,ciudad-lineal,"Piso en calle de José Arcones Gil, Pueblo Nuevo, Madrid",315000,64,2.0,N,2ª,2,15,46937
madrid,chamberi,"Piso en calle de Carranza, Trafalgar, Madrid",310000,35,1.0,N,4ª,0,07,65174
madrid,chamberi,"Piso en calle de Génova, Almagro, Madrid",2800000,190,3.0,S,3ª,0,07,65174
madrid,chamberi,"Piso en calle del Cardenal Cisneros, Trafalgar, Madrid",457000,60,3.0,N,5ª,0,07,65174
madrid,moncloa,"Piso en del Buen Suceso, Argüelles, Madrid",1450000,190,4.0,S,4ª,0,09,71711
madrid,centro,"Piso en calle de Jesús y María, Lavapiés-Embajadores, Madrid",399000,45,2.0,S,2ª,1,01,44958
madrid,san-blas,"Piso en calle de Boltaña, Canillejas, Madrid",250000,63,3.0,N,1ª,1,20,44468
madrid,tetuan,"Piso en avenida del Doctor Federico Rubio y Galí, Bellas Vistas, Madrid",199733,46,2.0,S,BAJO,0,06,45762
madrid,retiro,"Piso en Pacífico, Madrid",575000,99,3.0,S,3ª,0,03,64787
madrid,tetuan,"Estudio en Alejandro Rodríguez, 1, Bellas Vistas, Madrid",289000,60,5.0,N,BAJO,0,06,45762
madrid,centro,"Piso en calle de Atocha, Lavapiés-Embajadores, Madrid",1200000,170,5.0,S,5ª,0,01,44958
madrid,carabanchel,"Piso en calle Alcatraz, Opañel, Madrid",165000,66,2.0,N,BAJO,0,11,3635
madrid,centro,"Piso en Chueca-Justicia, Madrid",390000,50,1.0,S,2ª,1,01,44958
madrid,ciudad-lineal,"Piso en calle de Fernández Caro, 46, Concepción, Madrid",515000,75,2.0,S,3ª,0,15,46937
madrid,barrio-de-salamanca,"Piso en calle de Don Ramón de la Cruz, 98, Goya, Madrid",1129000,115,3.0,S,1ª,0,04,69147
madrid,centro,"Piso en plaza de Puerta Cerrada, Palacio, Madrid",529000,95,2.0,N,4ª,0,01,44958
madrid,san-blas,"Estudio en calle de Pirra, 44, Rejas, Madrid",295000,45,4.0,S,5ª,0,20,44468
madrid,barrio-de-salamanca,"Ático en Castellana, Madrid",6400000,339,4.0,S,7ª,1,04,69147
madrid,centro,"Estudio en calle Mayor, 39, Sol, Madrid",358000,42,3.0,S,2ª,0,01,44958
madrid,chamberi,"Piso en calle de Santa Engracia, Nuevos Ministerios-Ríos Rosas, Madrid",1650000,183,3.0,S,3ª,0,07,65174
madrid,villa-de-vallecas,"Piso en Casco Histórico de Vallecas, Madrid",167500,66,2.0,N,2ª,0,18,39836
madrid,barrio-de-salamanca,"Piso en calle de Biarritz, Guindalera, Madrid",930000,160,3.0,S,3ª,0,04,69147
madrid,centro,"Piso en calle de los Dos Amigos, 5, Malasaña-Universidad, Madrid",350000,41,1.0,S,3ª,0,01,44958
madrid,barrio-de-salamanca,"Piso en Recoletos, Madrid",2850000,214,3.0,S,6ª,0,04,69147
madrid,villa-de-vallecas,"Piso en calle del Puerto del Bruch, 10, Casco Histórico de Vallecas, Madrid",179000,64,3.0,N,2ª,0,18,39836
madrid,chamartin,"Piso en Bernabéu-Hispanoamérica, Madrid",1175000,155,4.0,S,1ª,2,05,79274
madrid,centro,"Piso en calle de la Magdalena, Lavapiés-Embajadores, Madrid",424500,50,2.0,S,6ª,0,01,44958
madrid,chamartin,"Piso en El Viso, Madrid",3225000,267,3.0,S,2ª,0,05,79274
madrid,villa-de-vallecas,"Piso en Casco Histórico de Vallecas, Madrid",118000,59,4.0,S,3ª,1,18,39836
madrid,hortaleza,"Chalet pareado en Zacarías Homs, 16, Canillas, Madrid",2200000,415,5.0,S,1ª,0,16,61472
madrid,ciudad-lineal,"Piso en calle de Arturo Soria, Quintana, Madrid",886000,243,8.0,S,1ª,0,15,46937
madrid,retiro,"Piso en Academia, Jerónimos, Madrid",1200000,124,2.0,S,2ª,0,03,64787
madrid,centro,"Piso en Chueca-Justicia, Madrid",2990000,250,3.0,S,3ª,0,01,44958
madrid,moncloa,"Chalet adosado en calle de Flamisell, 9, Ciudad Universitaria, Madrid",725000,104,3.0,S,1ª,0,09,71711
madrid,puente-de-vallecas,"Piso en calle del Monte Perdido, San Diego, Madrid",245000,81,3.0,S,1ª,0,13,32666
